source_id,title,youtube_id,youtube_url,last_timestamp,transcript_words,transcript_sha256
1,Asking Billionaires If They Pay Taxes!,4uFVDpGTHPQ,https://www.youtube.com/watch?v=4uFVDpGTHPQ,"00:20:28,538",4884,a0f53b5d36c804cfeb678a5c7255d60c5f965ca6ebb4208da3b53292846bd221
2,Asking London Billionaires How They Got Rich!,mRJN1l_w-Co,https://www.youtube.com/watch?v=mRJN1l_w-Co,"00:19:04,512",5114,87a2fbc185e947033a4c13f1751e7b999736666b56b72907a2c4b9d1a9e5298c
3,Asking Billionaires If They Believe In God!,npnyOvchXZs,https://www.youtube.com/watch?v=npnyOvchXZs,"00:21:36,420",5529,c84826091d7d3b390bdd31701657969096ba4db489b74c613b6b138ee3a0d913
4,Asking Billionaires If Getting Rich Was Worth It,dK5bG5ZE3yI,https://www.youtube.com/watch?v=dK5bG5ZE3yI,"00:24:51,000",6549,94e5e4eac3b41aa28ce5cbc4502b35c4edbe57e834dea2013336b2b3d65a14a3
5,Asking Dallas Billionaires How They Got Rich!,rrDdi0vZn00,https://www.youtube.com/watch?v=rrDdi0vZn00,"00:25:54,300",6703,8322e1f6dfa824e4282a46ac8bd39940afcbcd972fd45a77abc659023e1d00f4
6,Asking Miami Billionaires How They Got Rich!,lU-bh2xPl4Y,https://www.youtube.com/watch?v=lU-bh2xPl4Y,"00:21:20,280",5443,038f109ba3ed72645ae4b9d517a62e73f10cc94d52843fbb7235279dd897dd20
7,Asking Beverly Hill Billionaires How They Got Rich!,uwh4gWNgb1w,https://www.youtube.com/watch?v=uwh4gWNgb1w,"00:17:39,159",4508,39c38658ce2f53e6a04bda4cf42f66b6eeee39b34f007416fb2fde5525427f8a
8,Asking Wealthy Americans How They Got Rich! (Palm Beach),AUaEd3_JbP8,https://www.youtube.com/watch?v=AUaEd3_JbP8,"00:26:46,250",6979,fbc53d719cae5077c260f6e64188a7b1e7f5a8ea89747cfac0a76e83e2d126b8
9,Asking NY Billionaires How They Got Rich!,DmDeNuTUetE,https://www.youtube.com/watch?v=DmDeNuTUetE,"00:22:04,738",5890,9cafb2a7bcc439e81908fb7b05ca8417363bac059770288fe9ba325d597da859
10,Asking Mega Mansion Owners How They Got Rich!,E_9nX5ReMcY,https://www.youtube.com/watch?v=E_9nX5ReMcY,"00:26:56,469",6869,f086f17532ee1d7b3c0d320095d02ebf89d290e015ed59f6142dd2104bc65501
